term,definition
abode,A place where someone lives; a home.
abroad,In or going to a foreign country.
absurd,So silly or unreasonable that it seems impossible.
abundant,Present in large amounts; more than enough.
accompany,To go somewhere together with someone.
affection,A gentle feeling of liking or love.
aloft,High up in the air.
altitude,The height of something above the ground or sea level.
anguish,Very great pain or suffering of the mind or body.
anonymous,Having a name that is not known or made public.
antagonist,The person or force that works against the hero.
antic,A funny or silly act.
apathy,A lack of interest or emotion.
apparel,Clothing.
apprehensive,Worried or nervous about something that might happen.
arid,"Very dry, with little rain."
aroma,A pleasant smell.
astound,To surprise or amaze greatly.
awe,A feeling of wonder and respect mixed with a little fear.
banquet,"A large, fancy meal for many people."
benevolent,Kind and wanting to help others.
blatant,Very obvious and done without shame.
bluster,"To talk in a loud, boastful way."
boycott,To refuse to buy from or deal with a person or group as a protest.
brawl,"A rough, noisy fight."
bungle,To do something badly or clumsily.
campaign,"A planned set of actions to reach a goal, such as winning an election."
captivate,To hold someone's attention and interest completely.
captive,A person or animal kept as a prisoner.
catastrophe,A terrible event that causes great damage or suffering.
chorus,A group of singers who sing together.
clasp,To hold something tightly in your hand or arms.
coincide,To happen at the same time.
commend,To praise someone for doing well.
compel,To force someone to do something.
compensate,"To make up for something, often by paying."
compose,To make or put together.
consent,Permission or agreement to do something.
conspicuous,Easy to notice; standing out clearly.
controversy,A public disagreement about something.
cordial,Friendly and warm.
corrode,"To slowly wear away or destroy, especially by rust or acid."
custody,The state of being watched over or held by the police or a guardian.
deceive,To make someone believe something that is not true.
declare,"To say something in a clear, official way."
deft,Quick and skillful with the hands.
delude,To mislead someone into believing something false.
deplete,To use up most or all of something.
deprive,To take something away from someone or keep it from them.
detain,To keep someone from leaving; to hold in custody.
detriment,Something that causes harm or damage.
diligent,Hardworking and careful.
discreet,Careful not to reveal private things or cause embarrassment.
dissolve,"To become liquid, or to break apart and end."
domesticate,To tame animals or plants so people can use them.
dwell,To live in a place.
eclipse,To do something so well that someone else is not noticed.
ecstasy,A feeling of great happiness.
elated,Very happy and excited.
elicit,To draw out a response or answer from someone.
eloquent,Speaking or writing in a clear and convincing way.
elude,"To escape or avoid, often by being clever."
emit,"To send out or give off, such as light or sound."
endanger,To put in danger.
engross,To occupy all of someone's attention.
envelop,To wrap around or cover completely.
exaggerate,To describe something as bigger or better than it really is.
exasperate,To annoy or make someone very angry.
excel,To be very good at something.
exhilaration,A feeling of great excitement and happiness.
expedition,A journey made for a special purpose.
exterminate,To destroy completely.
extraordinary,Very unusual and special.
exult,To show great joy.
fatality,A death caused by an accident or disaster.
fatigue,Great tiredness.
ferry,A boat that carries people and goods across water.
feud,"A long, angry quarrel between people or families."
fiber,"A thin thread or strand, or the part of food that helps digestion."
flammable,Easily set on fire.
flaw,A small mistake or weakness.
frigid,Extremely cold.
function,The purpose or job that something is meant to do.
fuse,"To join together into one, or a part that can stop an electric current."
gait,The way a person or animal walks.
garment,A piece of clothing.
gorge,"A deep, narrow valley with steep sides, or to eat greedily."
guardian,A person who protects or is legally responsible for someone.
hardy,Strong and able to survive hard conditions.
hatch,"To break out of an egg, or to plan something in secret."
hectic,Very busy and full of activity.
hoax,A trick played on someone to make them believe something false.
horde,"A large, moving crowd."
hover,To stay in the air in one place.
hybrid,Something made by combining two different things.
illuminate,To light up.
improvise,To make or do something without planning ahead.
inanimate,Not alive.
incentive,Something that encourages you to act.
inept,Having no skill; clumsy.
infest,"To spread over a place in large numbers, usually pests."
inflate,To fill with air or make bigger.
inhabit,To live in or occupy a place.
innate,Present from birth; natural rather than learned.
insist,To demand something in a firm way.
integrate,To combine parts into one whole.
intercept,To stop or catch something on its way from one place to another.
interpret,To explain the meaning of something.
intrigue,"To make someone curious, or a secret plan."
invaluable,Extremely useful; worth more than can be measured.
jeopardy,"Danger or risk, especially of loss."
kin,A person's family or relatives.
leeway,Extra freedom or room to act.
linger,To stay somewhere longer than needed.
lofty,"Very high, or noble and grand."
loom,"To appear as a large, unclear shape, or to seem about to happen."
manipulate,"To control or handle something skillfully, often unfairly."
marvel,"To feel wonder at something, or a wonderful thing."
mediocre,Only average; not very good.
mellow,"Soft, calm, and pleasant."
mere,Nothing more than; only.
miniature,Very small in size.
minute,Extremely small; tiny.
monotonous,Boring because it never changes.
moor,"A wide open area of rough land, or to tie a boat in place."
motion,"Movement, or a formal suggestion at a meeting."
nonchalant,Calm and not showing any worry or interest.
oblivious,Completely unaware of what is happening.
obsolete,No longer used because it is out of date.
omen,A sign of what may happen in the future.
onset,"The beginning of something, often unpleasant."
ooze,To flow slowly out of something.
outmoded,No longer in style or fashion.
paltry,Very small and not important; meager.
peculiar,Strange or unusual.
peninsula,A piece of land almost surrounded by water.
perish,"To die, especially in a terrible way."
persecute,To treat someone cruelly because of who they are.
petrify,"To turn to stone, or to make someone very frightened."
placid,Calm and peaceful.
plummet,To fall straight down very fast.
posture,The way someone holds their body.
poverty,The state of being very poor.
predicament,A difficult situation with no easy way out.
preliminary,Coming before the main part; done as a first step.
prominent,"Important and well known, or easy to see."
punctuate,"To add marks to writing, or to interrupt now and then."
quench,"To satisfy thirst, or to put out a fire."
ravenous,Extremely hungry.
realistic,Showing things as they really are.
recede,To move back or get smaller.
reign,To rule as a king or queen; the time of ruling.
relinquish,To give up or let go of something.
restrain,To hold back or keep under control.
revert,To go back to a former state or habit.
revolve,To turn around in a circle.
rigor,Strictness or carefulness.
rural,Relating to the countryside rather than the city.
salvage,To save something from damage or loss.
sanctuary,A safe or holy place.
scour,"To search a place carefully, or to clean by rubbing hard."
sear,To burn or scorch the surface of something.
segregate,To separate one group from another.
sever,To cut or break off completely.
sheathe,To put a sword or knife into its cover.
skeptic,A person who doubts that something is true.
skirmish,"A small, short fight."
slither,To slide along the ground like a snake.
solar,Relating to the sun.
soothe,To comfort or make someone calmer.
species,A group of living things that are alike and can have young together.
splendor,Great beauty and magnificence.
squalor,The state of being very dirty and unpleasant.
stampede,"A sudden, wild rush of frightened animals or people."
stern,Serious and strict.
stifle,"To hold back or stop something, such as a yawn or a sound."
summit,"The highest point, especially of a mountain."
superb,Excellent; very good.
supplement,Something added to complete or improve.
swarm,A large group of insects or other small creatures moving together.
swivel,To turn around a center point.
taunt,To make fun of or tease someone in a mean way.
tentative,Not certain or final; done with hesitation.
toxic,Poisonous.
trace,"A small sign left behind, or to find by following clues."
tranquil,Calm and quiet.
treacherous,Dangerous and not to be trusted.
triumph,A great victory or success.
tyrant,A cruel ruler who abuses power.
unveil,To show something for the first time.
urgent,Needing attention right away.
vacate,To leave a place empty.
vanquish,To defeat completely.
vat,A large container for holding liquids.
velocity,The speed of something moving in a direction.
verdict,The decision of a jury or judge.
violate,To break a rule or law.
wend,To travel or make your way slowly.
withdraw,"To take back or remove, or to leave a place."
